nib,nib0,nib1,nib2,nib3,format,path,type,lowMipC,highMipC,mipCdiff,byteDif,compressed,lowX,lowY,minX,minY
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Character\ch90\156\0000\textures\MaterialBlend\ch90_156_0000_body_1003_Mblend_00_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Character\ch90\156\0000\textures\MaterialBlend\ch90_156_0000_PB_1002_Mblend_00_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Character\ch90\156\0000\textures\MaterialBlend\ch90_156_0000_PB_1003_Mblend_00_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Character\ch90\156\0000\textures\MaterialBlend\ch90_156_0000_tail_1001_Mblend_00_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Character\ch90\159\0000\textures\ch90_159_0000_damage_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Character\ch90\161\0000\textures\PartsBreak\ch90_161_0000_PB_Mblend_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Character\ch91\062\0000\textures\ch91_062_0000_P_Decal_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Character\ch91\151\0000\textures\ch91_151_0000_damage_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Character\ch91\152\0000\textures\ch91_152_0000_Hair_HO_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Character\ch91\160\0000\textures\ch91_160_0000_body_damage_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Character\ch91\161\0000\textures\PartsBreak\ch91_161_0000_damage_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Character\ch91\164\5000\textures\PartsBreak\ch91_164_5000_damage_1001_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Character\ch91\164\5000\textures\PartsBreak\ch91_164_5000_damage_1002_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Item\it80\64\0000\textures\it8064_0000_A_00_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Item\it80\64\0000\textures\it8064_0000_A_01_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Item\it80\67\0000\textures\it8067_0000_A_03_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Item\it84\53\0000\textures\it8453_0000_A_00_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Item\it85\07\0000\textures\it8507_0000_A_00_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Item\it91\07\0004\textures\it9107_0004_A_01_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Item\it91\07\0010\textures\it9107_0010_A_01_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Item\it91\07\0053\textures\it9107_0053_A_01_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC1UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Item\it91\07\0054\textures\it9107_0054_A_00_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC1UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Item\it91\07\0061\textures\it9107_0061_A_00_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\StageModel\sm01\sm01_110\textures\sm01_110_A_09_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC1UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\StageModel\sm11\sm11_005\textures\sm11_005_B_00_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\StageModel\sm11\sm11_020\textures\sm11_020_00_Leaf_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\StageModel\sm11\sm11_052\textures\sm11_024_00_Leaf_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\StageModel\sm11\sm11_056\textures\sm11_056_00_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\StageModel\sm11\sm11_410\textures\sm11_410_00_Leaf_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC1UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\StageModel\sm12\sm12_013\textures\sm12_013_00_Branches_0001_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\StageModel\sm12\sm12_013\textures\sm12_013_00_Leaf_0000_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\StageModel\sm12\sm12_013\textures\sm12_013_00_Peel_0000_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC1UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\StageModel\sm13\sm13_003\textures\sm13_003_Bark_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC1UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\StageModel\sm13\sm13_003\textures\sm13_003_Trunk_1_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC1UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\StageModel\sm13\sm13_003\textures\sm13_003_Trunk_2_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\StageModel\sm22\sm22_201\textures\sm22_201_A_00_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\StageModel\sm22\sm22_314\textures\sm22_314_A_00_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\StageModel\sm22\sm22_314\textures\sm22_314_A_01_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\StageModel\sm22\sm22_314\textures\sm22_314_A_02_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\StageModel\sm41\sm41_193\textures\sm41_193_A_00_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\StageModel\sm42\sm42_252\textures\sm42_252_A_00_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\StageModel\sm42\sm42_761\textures\sm42_761_01_A_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\StageModel\sm43\sm43_016\textures\sm43_016_A_02_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\StageModel\sm43\sm43_109\textures\sm43_109_A_00_Decal_2_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC1UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\StageModel\sm43\sm43_225\textures\sm43_225_A_00_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\StageModel\sm43\sm43_537\textures\sm43_537_A_01_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\Common\Stage\st104\st104_a00_00_web\st104_a00_00_web_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st101\st101_a03\textures\phlvmjp_4K_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st101\st101_a03\textures\skiubhzc_4K_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st102\st102_a14\textures\st102_a14_20_Fall_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st102\st102_a14\textures\st102_a14_21_Fall_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st103\st103_a01\textures\Decal_Oil_Flow02_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st103\st103_a01\textures\Decal_pattern_00_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st103\st103_a01\textures\Decal_pattern_01_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st103\st103_a01\textures\Decal_pattern_02_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st103\st103_a10\textures\CC_ryuunyuu_01_st103_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st103\st103_a10\textures\st103_a10_puddle01_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st103\st103_a11\textures\Decal_Lava00_EmissiveFlow_a11_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st103\st103_a11\textures\Lava_finger_01_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st103\st103_a11\textures\Lava_finger_02_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st103\st103_a11\textures\MS_vlzheg0n_03_S_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st103\st103_a11\textures\MS_vlzheg0n_A_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st103\st103_a11\textures\MS_vlzheg0n_S_04_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st103\st103_a11\textures\MS_vlzheg0n_S_05_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st104\st104_a01\Texture\Ice_Decal01_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st104\st104_a01\Texture\Poison_01_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st104\st104_a01\Texture\Snow00_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st104\st104_a01\Texture\Wall_Rock_G_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st104\st104_a06\texture\a08_Iceground_00_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st104\st104_a06\texture\a08_Iceground_02_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st104\st104_a06\texture\Ice_Decal_Dirt_drip_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st104\st104_a06\texture\Ice_Decal_S2_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st104\st104_a06\texture\Ice_Decal_S_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st104\st104_a06\texture\Kairyu_Debri_S2_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st104\st104_a06\texture\MS_Water_00_Dirt_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st104\st104_a06\texture\Snow_Dark_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st104\st104_a06\texture\Snow_S2_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st104\st104_a06\texture\Snow_S_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st104\st104_a06\texture\SoilSnow_Decal_00_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st104\st104_a06\texture\Teten gareki_00_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st104\st104_a06\texture\Wall_Rock_S_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st104\st104_a12\textures\st104_a12_00_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st104\st104_a12\textures\st104_a12_01_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st105\st105_a07\textures\Decal_BlueBlood_00_vlpgefpv_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st105\st105_a07\textures\Decal_BlueBlood_01_sb4jej0p_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st105\st105_a07\textures\Decal_BlueBlood_02_wlbvfhhc_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st105\st105_a07\textures\Decal_BlueBlood_03_wlvfefov_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st105\st105_a07\textures\Decal_crack_00_sfxmang_ALBA.tex.241106027,ALBA,2,7,5,5,1,32,16,16,8
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st105\st105_a07\textures\Decal_mayu_00_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st105\st105_a07\textures\Decal_st105_Simbol_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st105\st105_a07\textures\Decal_Wet_00_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st105\st105_a07\textures\st105_ryuunyuu_00_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Stage\st403\st403_a01\textures\CC_crystal_00_D_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
